X_Acc,Y_Acc,Z_Acc,Sleep_Stage
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.06 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.06 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.44 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.06 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.02 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.04 g, Z-Acceleration: 1.45 g,Sleep
X-Acceleration: 0.09 g, Y-Acceleration: 0.05 g, Z-Acceleration: 1.45 g,Awake
X-Acceleration: 0.39 g, Y-Acceleration: 0.77 g, Z-Acceleration: 1.13 g,Awake
X-Acceleration: -0.67 g, Y-Acceleration: 0.06 g, Z-Acceleration: 1.17 g,Awake
X-Acceleration: -0.68 g, Y-Acceleration: 0.04 g, Z-Acceleration: 1.04 g,Awake
X-Acceleration: 0.06 g, Y-Acceleration: 0.18 g, Z-Acceleration: 1.48 g,Awake
X-Acceleration: 0.05 g, Y-Acceleration: 0.27 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: 0.91 g, Y-Acceleration: 0.57 g, Z-Acceleration: 0.56 g,Awake
X-Acceleration: 0.86 g, Y-Acceleration: 0.33 g, Z-Acceleration: 0.67 g,Awake
X-Acceleration: 0.00 g, Y-Acceleration: 0.19 g, Z-Acceleration: 1.41 g,Awake
X-Acceleration: -0.01 g, Y-Acceleration: 0.19 g, Z-Acceleration: 1.40 g,Awake
X-Acceleration: 0.01 g, Y-Acceleration: 0.18 g, Z-Acceleration: 1.40 g,Awake
X-Acceleration: -0.08 g, Y-Acceleration: 0.14 g, Z-Acceleration: 1.45 g,Awake
X-Acceleration: -0.55 g, Y-Acceleration: 0.15 g, Z-Acceleration: 1.30 g,Awake
X-Acceleration: -0.32 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.36 g,Awake
X-Acceleration: -0.01 g, Y-Acceleration: 0.24 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: 0.03 g, Y-Acceleration: 0.47 g, Z-Acceleration: 1.43 g,Awake
X-Acceleration: 0.03 g, Y-Acceleration: 0.38 g, Z-Acceleration: 1.33 g,Awake
X-Acceleration: 0.03 g, Y-Acceleration: 0.38 g, Z-Acceleration: 1.32 g,Awake
X-Acceleration: 0.04 g, Y-Acceleration: 0.39 g, Z-Acceleration: 1.33 g,Awake
X-Acceleration: 0.04 g, Y-Acceleration: 0.38 g, Z-Acceleration: 1.32 g,Awake
X-Acceleration: 0.07 g, Y-Acceleration: 0.41 g, Z-Acceleration: 1.30 g,Awake
X-Acceleration: 0.30 g, Y-Acceleration: 0.52 g, Z-Acceleration: 1.19 g,Awake
X-Acceleration: 0.06 g, Y-Acceleration: 0.32 g, Z-Acceleration: 1.20 g,Awake
X-Acceleration: 0.93 g, Y-Acceleration: 0.30 g, Z-Acceleration: 0.52 g,Awake
X-Acceleration: -0.21 g, Y-Acceleration: 0.36 g, Z-Acceleration: 1.29 g,Awake
X-Acceleration: -0.74 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.26 g,Awake
X-Acceleration: 0.53 g, Y-Acceleration: 0.25 g, Z-Acceleration: 1.29 g,Awake
X-Acceleration: 0.10 g, Y-Acceleration: 0.55 g, Z-Acceleration: 1.24 g,Awake
X-Acceleration: 0.35 g, Y-Acceleration: 0.35 g, Z-Acceleration: 1.20 g,Awake
X-Acceleration: 0.34 g, Y-Acceleration: 0.26 g, Z-Acceleration: 1.35 g,Awake
X-Acceleration: -0.29 g, Y-Acceleration: 0.24 g, Z-Acceleration: 1.22 g,Awake
X-Acceleration: -0.69 g, Y-Acceleration: -0.03 g, Z-Acceleration: 1.12 g,Awake
X-Acceleration: 0.30 g, Y-Acceleration: 0.26 g, Z-Acceleration: 1.28 g,Awake
X-Acceleration: -0.05 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.45 g,Awake
X-Acceleration: 0.85 g, Y-Acceleration: 0.56 g, Z-Acceleration: 0.23 g,Awake
X-Acceleration: 0.10 g, Y-Acceleration: 0.25 g, Z-Acceleration: 1.42 g,Awake
X-Acceleration: 0.15 g, Y-Acceleration: 0.25 g, Z-Acceleration: 1.44 g,Awake
X-Acceleration: 0.08 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.42 g,Awake
X-Acceleration: 0.09 g, Y-Acceleration: 0.06 g, Z-Acceleration: 1.43 g,Awake
X-Acceleration: 0.08 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Awake
X-Acceleration: -0.10 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.55 g,Awake
X-Acceleration: 0.60 g, Y-Acceleration: 0.61 g, Z-Acceleration: 0.60 g,Awake
X-Acceleration: 0.79 g, Y-Acceleration: 0.41 g, Z-Acceleration: 0.64 g,Awake
X-Acceleration: 0.13 g, Y-Acceleration: 0.22 g, Z-Acceleration: 1.40 g,Awake
X-Acceleration: 0.11 g, Y-Acceleration: 0.15 g, Z-Acceleration: 1.60 g,Awake
X-Acceleration: -0.01 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.46 g,Awake
X-Acceleration: -0.43 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.20 g,Awake
X-Acceleration: -0.95 g, Y-Acceleration: -0.09 g, Z-Acceleration: 0.94 g,Awake
X-Acceleration: 0.04 g, Y-Acceleration: 0.27 g, Z-Acceleration: 1.43 g,Awake
X-Acceleration: 0.06 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Awake
X-Acceleration: 0.34 g, Y-Acceleration: 0.17 g, Z-Acceleration: 1.18 g,Awake
X-Acceleration: 0.14 g, Y-Acceleration: 0.19 g, Z-Acceleration: 1.41 g,Awake
X-Acceleration: 0.72 g, Y-Acceleration: 0.17 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: 0.82 g, Y-Acceleration: 0.51 g, Z-Acceleration: 0.66 g,Awake
X-Acceleration: -0.34 g, Y-Acceleration: 0.35 g, Z-Acceleration: 1.22 g,Awake
X-Acceleration: -0.90 g, Y-Acceleration: 0.13 g, Z-Acceleration: 0.73 g,Awake
X-Acceleration: -0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.12 g,Awake
X-Acceleration: 0.20 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.37 g,Awake
X-Acceleration: 0.60 g, Y-Acceleration: 0.28 g, Z-Acceleration: 1.29 g,Awake
X-Acceleration: 0.70 g, Y-Acceleration: 0.74 g, Z-Acceleration: 0.37 g,Awake
X-Acceleration: 0.19 g, Y-Acceleration: 0.21 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: -0.14 g, Y-Acceleration: 0.34 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: 0.18 g, Y-Acceleration: 0.32 g, Z-Acceleration: 1.36 g,Awake
X-Acceleration: -0.11 g, Y-Acceleration: 0.34 g, Z-Acceleration: 1.34 g,Awake
X-Acceleration: -0.64 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.10 g,Awake
X-Acceleration: 0.01 g, Y-Acceleration: 0.25 g, Z-Acceleration: 1.26 g,Awake
X-Acceleration: -0.07 g, Y-Acceleration: 0.13 g, Z-Acceleration: 1.45 g,Awake
X-Acceleration: -0.09 g, Y-Acceleration: 0.41 g, Z-Acceleration: 1.32 g,Awake
X-Acceleration: 0.54 g, Y-Acceleration: 0.34 g, Z-Acceleration: 0.92 g,Awake
X-Acceleration: -0.05 g, Y-Acceleration: 0.20 g, Z-Acceleration: 1.46 g,Awake
X-Acceleration: -0.15 g, Y-Acceleration: 0.18 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: -0.01 g, Y-Acceleration: 0.18 g, Z-Acceleration: 1.34 g,Awake
X-Acceleration: 0.08 g, Y-Acceleration: 0.11 g, Z-Acceleration: 1.53 g,Awake
X-Acceleration: 0.55 g, Y-Acceleration: 0.95 g, Z-Acceleration: 0.17 g,Awake
X-Acceleration: -0.11 g, Y-Acceleration: 0.32 g, Z-Acceleration: 1.27 g,Awake
X-Acceleration: -1.26 g, Y-Acceleration: -0.03 g, Z-Acceleration: 1.36 g,Awake
X-Acceleration: -0.17 g, Y-Acceleration: 0.36 g, Z-Acceleration: 1.04 g,Awake
X-Acceleration: -0.05 g, Y-Acceleration: 0.84 g, Z-Acceleration: 0.94 g,Awake
X-Acceleration: -0.18 g, Y-Acceleration: -0.21 g, Z-Acceleration: 1.37 g,Awake
X-Acceleration: -0.20 g, Y-Acceleration: 0.16 g, Z-Acceleration: 1.39 g,Awake
X-Acceleration: -0.44 g, Y-Acceleration: 0.17 g, Z-Acceleration: 1.31 g,Awake
X-Acceleration: -0.70 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.18 g,Awake
X-Acceleration: 0.36 g, Y-Acceleration: 0.11 g, Z-Acceleration: 1.42 g,Awake
X-Acceleration: 0.79 g, Y-Acceleration: 0.18 g, Z-Acceleration: 0.90 g,Awake
X-Acceleration: 0.02 g, Y-Acceleration: 0.40 g, Z-Acceleration: 1.38 g,Awake
X-Acceleration: -0.43 g, Y-Acceleration: 0.12 g, Z-Acceleration: 1.20 g,Awake
X-Acceleration: -0.29 g, Y-Acceleration: 0.13 g, Z-Acceleration: 1.37 g,Awake
X-Acceleration: -0.08 g, Y-Acceleration: 0.26 g, Z-Acceleration: 1.38 g,Awake
X-Acceleration: 0.05 g, Y-Acceleration: 0.19 g, Z-Acceleration: 1.41 g,Awake
X-Acceleration: 0.08 g, Y-Acceleration: 0.17 g, Z-Acceleration: 1.36 g,Awake
X-Acceleration: -0.22 g, Y-Acceleration: 0.19 g, Z-Acceleration: 1.36 g,Awake
X-Acceleration: -0.17 g, Y-Acceleration: 0.17 g, Z-Acceleration: 1.40 g,Awake
X-Acceleration: 0.13 g, Y-Acceleration: -0.36 g, Z-Acceleration: 1.31 g,Awake
X-Acceleration: 0.14 g, Y-Acceleration: 0.22 g, Z-Acceleration: 1.37 g,Awake
X-Acceleration: -0.18 g, Y-Acceleration: 0.46 g, Z-Acceleration: 1.60 g,Awake
X-Acceleration: 0.70 g, Y-Acceleration: 0.54 g, Z-Acceleration: 0.48 g,Awake
X-Acceleration: 0.02 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.87 g,Awake
X-Acceleration: 0.10 g, Y-Acceleration: 0.13 g, Z-Acceleration: 1.40 g,Awake
X-Acceleration: -0.09 g, Y-Acceleration: 0.80 g, Z-Acceleration: 1.93 g,Awake
